s368	1	46	37
s372	7	43	46
s373	14	46	37
s374	14	47	46
s375	9	46	63
s376	9	63	37
s378	14	46	37
s379	1	37	37
s384	14	46	37
s385	11	37	37
s388	9	44	46
s390	7	46	56
s393	14	44	37
s394	6	60	37
s395	7	43	46
s396	9	46	37
s397	14	55	46
s399	12	46	56
s403	7	63	37
s405	1	37	37
s406	6	37	37
s407	6	37	37
s408	6	37	37
s409	6	37	37
s410	6	37	37
s411	6	37	37
s412	6	37	37
s413	6	37	37
s414	6	37	37
s415	6	37	37
s416	6	37	37
s417	6	37	37
s418	6	37	37
s419	6	37	37
s420	6	60	37
s421	6	37	37
s422	6	37	37
s423	6	37	37
s424	6	37	37
s425	6	37	37
s427	7	37	37
s428	9	46	37
s429	26	65	46
s430	7	46	56
s433	6	37	37
s434	9	44	43
s437	7	46	63
s438	14	37	37
s439	7	46	63
s440	7	46	56
s442	12	67	37
s444	9	46	37
s446	7	43	56
s447	7	37	37
s448	7	63	37
s449	7	63	37
s450	7	63	37
s451	7	63	37
s452	14	44	63
s453	9	44	46
s455	9	64	37
s456	1	46	61
s458	1	46	60
s459	7	46	63
s461	6	47	60
s462	9	44	43
s463	1	37	37
s464	12	46	37
s465	14	47	37
s468	1	46	37
s469	9	44	46
s470	7	43	37
s471	23	37	37
s472	6	44	46
s474	1	60	37
s475	14	47	37
s476	21	37	37
s477	9	71	46
s480	12	37	37
s481	9	44	46
s482	14	44	46
s484	7	46	63
s485	21	37	37
s486	11	37	37
s487	6	47	51
s490	9	46	37
s492	9	44	63
s493	7	63	37
s495	9	61	37
s496	1	46	37
s497	14	46	37
s499	7	46	37
s501	14	46	37
s502	7	46	37
s503	7	46	63
s506	7	46	37
s507	17	63	37
s508	9	46	37
s509	7	46	37
s519	7	46	37
s529	7	46	63
s530	7	46	37
s532	7	46	37
s535	7	46	37
s542	9	44	46
s543	7	46	37
s551	12	67	37
s552	17	63	56
s553	9	46	37
s555	7	46	56
s556	14	64	46
s557	12	46	56
s558	12	51	37
s559	14	37	37
s560	14	37	37
s561	1	60	37
s562	14	47	37
s563	9	37	37
s564	14	47	51
s565	9	44	43
s567	14	47	37
s568	14	56	37
s569	6	47	37
s570	7	46	63
s571	14	46	37
s573	9	44	46
s574	6	47	37
s575	6	47	37
s576	9	44	63
s577	7	66	46
s579	7	63	37
s580	14	54	47
s581	14	57	46
s582	14	51	37
s583	9	44	37
s584	9	63	37
s585	9	37	37
s586	7	63	37
s587	12	37	37
s590	7	46	37
s592	7	63	37
s593	9	63	37
s594	6	47	37
s595	14	51	37
s596	6	47	37
s597	9	44	43
s598	14	47	60
s599	7	56	37
s600	7	37	37
s601	11	37	37
s602	14	65	54
s603	14	65	44
s604	6	44	37
s605	7	37	37
